"Edat";"Sexe";"H";"Pes";"D2";"D4";"MO";"PC";"Envas";"Vidre";"Aspecte"
22;"M";170;60;71;72;"N";"N";"N";"N";"E"
74;"F";154;60;65;63;"S";"S";"S";"S";"T"
49;"M";178;81;72;75;"N";"S";"S";"S";"T"
23;"F";159;62;65;63;"N";"N";"N";"S";"E"
20;"F";170;56;80;70;"N";"N";"N";"N";"F"
24;"M";176;83;76;79;"S";"S";"S";"S";"M"
18;"M";175;55;67;73;"N";"N";"N";"N";"M"
39;"F";167;62;73;76;"N";"N";"N";"N";"T"
57;"M";178;90;78;78;"S";"S";"S";"S";"E"
19;"M";182;71;73;70;"N";"N";"N";"S";"E"
22;"M";158;56;69;69;"S";"S";"S";"S";"E"
42;"M";168;66;85;85;"N";"N";"N";"N";"E"
55;"M";171;83;67;68;"S";"S";"S";"S";"E"
18;"F";164;68;66;69;"S";"S";"S";"S";"E"
49;"F";160;67;68;70;"N";"S";"S";"S";"M"
29;"F";154;55;62;62;"N";"N";"N";"S";"E"
40;"F";165;78;80;78;"N";"S";"S";"S";"T"
43;"M";173;72;71;70;"S";"S";"S";"S";"F"
55;"F";167;73;65;72;"N";"N";"N";"N";"T"
23;"F";165;66;75;80;"S";"S";"S";"S";"E"
45;"F";158;54;73;75;"N";"N";"N";"S";"E"
21;"F";175;60;75;75;"S";"S";"S";"S";"M"
51;"M";171;82;70;71;"N";"N";"N";"N";"T"
56;"F";170;50;74;70;"S";"S";"S";"S";"E"
50;"M";177;105;57;56;"N";"N";"N";"N";"E"
54;"F";163;72;72;73;"N";"S";"S";"S";"E"
20;"M";187;82;90;85;"N";"S";"S";"S";"T"
35;"F";165;58;68;71;"S";"S";"S";"S";"E"
57;"M";174;78;85;85;"S";"S";"S";"S";"E"
19;"M";183;71;71;80;"S";"S";"S";"S";"T"
23;"F";175;65;80;80;"N";"S";"S";"S";"T"
33;"F";159;48;73;71;"S";"N";"N";"S";"E"
51;"F";158;61;62;70;"N";"S";"S";"S";"E"
19;"M";173;62;80;75;"S";"S";"S";"S";"E"
18;"F";154;48;63;61;"N";"S";"S";"S";"E"
19;"M";178;70;69;70;"N";"N";"S";"N";"T"
61;"F";157;63;72;75;"N";"S";"S";"S";"M"
19;"M";172;73;81;77;"N";"N";"N";"S";"T"
34;"M";183;86;80;80;"N";"S";"S";"S";"E"
23;"M";200;108;89;90;"S";"S";"S";"S";"T"
37;"M";165;71;58;55;"N";"N";"N";"S";"T"
22;"M";170;62;85;80;"N";"N";"N";"N";"T"
19;"M";175;72;74;72;"S";"S";"S";"S";"F"
32;"F";159;57;78;80;"S";"S";"N";"N";"E"
27;"M";179;68;92;83;"S";"S";"S";"S";"E"
58;"M";175;109;76;74;"S";"S";"S";"S";"E"
22;"F";166;51;75;74;"N";"S";"S";"S";"M"
26;"M";186;89;75;77;"S";"S";"S";"S";"E"
21;"F";170;67;65;62;"N";"S";"S";"S";"M"
55;"M";174;73;84;83;"S";"N";"N";"N";"T"
19;"F";168;57;65;66;"N";"S";"S";"S";"T"
48;"M";169;68;79;78;"S";"S";"S";"S";"F"
25;"F";162;56;61;61;"S";"S";"S";"S";"F"
24;"F";170;54;69;71;"N";"S";"S";"S";"E"
18;"M";174;73;85;82;"S";"S";"S";"S";"E"
51;"F";165;59;75;73;"S";"S";"S";"S";"E"
67;"F";176;73;75;73;"S";"S";"S";"S";"E"
84;"F";149;50;67;70;"S";"S";"S";"S";"E"
29;"F";172;64;72;73;"S";"S";"S";"S";"E"
18;"M";163;60;75;78;"S";"S";"S";"S";"M"
45;"F";170;69;68;70;"N";"N";"N";"S";"T"
32;"F";163;60;71;74;"S";"S";"S";"S";"M"
31;"F";164;62;68;69;"S";"N";"S";"N";"E"
21;"M";182;89;85;90;"N";"N";"N";"N";"T"
45;"F";163;59;70;66;"S";"S";"S";"S";"E"
39;"M";173;74;70;72;"S";"S";"S";"S";"T"
50;"F";164;61;70;70;"N";"S";"N";"N";"E"
39;"M";172;67;73;72;"N";"N";"S";"S";"T"
44;"F";170;64;71;74;"N";"N";"N";"N";"T"
18;"F";175;57;74;70;"S";"S";"S";"N";"E"
88;"F";155;88;63;65;"N";"N";"N";"N";"M"
22;"F";152;55;60;65;"N";"S";"S";"S";"E"
19;"M";164;60;78;73;"S";"S";"S";"S";"E"
19;"F";160;50;72;72;"N";"S";"S";"S";"E"
19;"M";177;76;78;77;"S";"S";"S";"S";"E"
52;"F";159;68;70;72;"S";"S";"S";"S";"E"
18;"F";165;50;70;75;"S";"S";"S";"S";"M"
20;"F";168;70;70;70;"N";"N";"N";"N";"E"
20;"M";190;76;77;83;"S";"S";"S";"S";"E"
45;"F";165;60;69;71;"N";"N";"N";"N";"T"
20;"F";167;68;71;72;"S";"S";"S";"S";"E"
56;"M";167;76;66;66;"N";"N";"N";"S";"F"
21;"F";167;60;67;69;"N";"S";"S";"S";"E"
20;"F";171;74;73;75;"N";"N";"N";"S";"M"
29;"M";176;82;77;75;"N";"N";"N";"N";"E"
21;"F";158;52;71;72;"S";"S";"S";"S";"M"
24;"F";156;66;64;59;"S";"S";"S";"S";"F"
40;"F";167;54;67;70;"S";"S";"S";"S";"E"
20;"F";173;58;70;75;"S";"S";"N";"S";"E"
21;"F";162;58;63;65;"N";"S";"S";"S";"E"
19;"M";179;75;73;74;"N";"S";"S";"S";"F"
49;"F";152;48;65;64;"S";"S";"S";"S";"E"
48;"F";165;69;65;67;"N";"S";"S";"S";"E"
45;"M";175;98;78;83;"S";"S";"S";"S";"E"
43;"F";165;57;70;74;"S";"N";"N";"N";"E"
20;"F";169;57;72;78;"N";"S";"S";"S";"E"
54;"M";174;61;83;75;"N";"N";"N";"S";"F"
29;"F";157;65;70;68;"S";"S";"S";"S";"F"
55;"F";160;57;78;76;"S";"N";"N";"S";"E"
60;"M";170;110;70;73;"S";"S";"S";"S";"E"
19;"F";166;53;69;66;"N";"N";"N";"N";"T"
22;"M";164;62;68;69;"N";"N";"N";"S";"E"
64;"F";152;57;70;70;"S";"S";"S";"S";"E"
25;"F";155;53;57;57;"N";"S";"S";"S";"M"
27;"M";180;72;80;70;"N";"S";"S";"S";"E"
19;"M";173;73;82;86;"S";"S";"S";"S";"F"
59;"M";171;76;79;81;"S";"S";"S";"S";"E"
19;"M";177;73;74;77;"N";"S";"S";"S";"E"
25;"F";160;55;71;74;"S";"S";"S";"S";"E"
19;"M";184;78;78;80;"S";"S";"S";"S";"E"
21;"F";170;55;75;88;"S";"S";"S";"S";"F"
20;"M";178;73;80;75;"S";"S";"S";"S";"F"
22;"M";177;69;74;73;"S";"S";"S";"S";"T"
21;"F";159;47;67;68;"S";"S";"S";"S";"E"
20;"F";163;57;73;72;"S";"S";"S";"S";"F"
55;"M";177;79;71;74;"S";"S";"S";"N";"M"
23;"M";185;96;73;75;"S";"S";"S";"S";"E"
19;"M";166;59;79;72;"S";"S";"S";"S";"T"
28;"M";187;95;74;77;"N";"S";"N";"N";"M"
55;"F";160;68;72;67;"S";"S";"S";"S";"E"
55;"M";173;90;81;84;"N";"N";"S";"S";"T"
25;"M";170;83;70;72;"S";"S";"S";"S";"E"
36;"M";180;86;80;75;"N";"S";"S";"S";"E"
24;"F";158;50;65;63;"N";"S";"S";"S";"E"
25;"F";176;80;77;72;"S";"S";"S";"S";"T"
19;"F";157;46;69;70;"N";"S";"S";"S";"E"
57;"M";174;65;69;67;"N";"N";"N";"S";"T"
48;"M";171;95;74;78;"N";"S";"S";"S";"F"
34;"M";188;90;73;74;"S";"N";"N";"S";"E"
19;"F";162;53;65;65;"N";"S";"S";"S";"E"
27;"F";163;61;65;62;"N";"S";"N";"S";"M"
23;"M";184;85;76;74;"N";"N";"N";"N";"T"
70;"F";157;68;75;73;"S";"N";"N";"S";"E"
18;"M";170;70;71;73;"N";"N";"N";"N";"T"
18;"F";167;55;80;70;"S";"S";"S";"S";"E"
21;"M";165;67;65;67;"N";"N";"N";"S";"T"
19;"M";185;70;76;76;"N";"N";"S";"S";"E"
52;"F";172;66;75;70;"N";"S";"N";"S";"T"
29;"F";173;72;75;77;"N";"S";"N";"S";"M"
23;"M";160;62;70;67;"N";"N";"N";"N";"M"
23;"F";164;53;65;67;"N";"S";"S";"S";"E"
27;"M";176;78;65;63;"S";"S";"S";"S";"E"
53;"M";184;76;78;73;"S";"S";"S";"S";"E"
23;"M";173;59;90;95;"S";"S";"S";"S";"M"
71;"F";152;58;58;57;"N";"N";"N";"N";"E"
22;"F";170;57;73;75;"S";"S";"S";"S";"F"
47;"F";173;68;74;76;"S";"N";"N";"N";"F"
20;"F";165;52;75;79;"S";"S";"S";"S";"F"
20;"F";152;56;66;65;"S";"N";"S";"N";"E"
36;"M";175;68;84;82;"S";"S";"S";"S";"E"
21;"M";182;72;85;82;"S";"S";"S";"S";"F"
51;"M";168;75;75;73;"N";"N";"N";"S";"T"
20;"F";173;59;70;75;"S";"S";"N";"S";"E"
22;"M";181;66;85;87;"N";"N";"N";"N";"T"
60;"M";174;85;73;73;"S";"S";"S";"S";"E"
55;"M";160;72;70;71;"S";"S";"S";"N";"E"
60;"M";165;65;78;81;"S";"N";"N";"S";"M"
20;"M";192;88;88;87;"S";"S";"S";"S";"T"
25;"M";179;78;77;79;"S";"N";"S";"N";"M"
27;"F";168;72;76;77;"N";"S";"S";"N";"E"
21;"M";193;115;80;82;"N";"N";"N";"S";"T"
35;"F";172;80;75;77;"S";"S";"S";"S";"E"
19;"F";175;85;73;80;"N";"S";"N";"S";"E"
22;"F";166;61;72;69;"S";"S";"S";"S";"F"
32;"M";180;82;81;80;"N";"N";"S";"S";"T"
25;"F";169;52;67;65;"S";"S";"S";"S";"F"
46;"F";170;80;69;70;"S";"S";"S";"S";"E"
51;"F";158;62;63;69;"S";"S";"S";"N";"E"
22;"F";171;70;80;76;"S";"S";"S";"S";"E"
53;"F";161;66;73;68;"S";"N";"N";"N";"T"
18;"F";159;56;65;64;"S";"S";"S";"N";"T"
30;"F";174;60;67;67;"S";"S";"S";"S";"F"
18;"F";167;69;75;72;"N";"N";"N";"N";"F"
27;"M";177;86;74;75;"S";"N";"N";"N";"E"
24;"M";167;60;69;71;"S";"S";"S";"S";"T"
18;"M";184;74;75;80;"S";"N";"N";"S";"E"
32;"M";169;75;75;75;"N";"S";"N";"N";"E"
36;"M";181;66;75;74;"S";"S";"S";"S";"F"
22;"M";176;69;84;82;"N";"N";"N";"N";"E"
23;"M";200;108;98;92;"S";"S";"S";"S";"T"
